Provincia;Partido;Posicion
Buenos Aires;FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD;2
Capital Federal;LA LIBERTAD AVANZA;2
Catamarca;FRENTE AMPLIO CATAMARQUEÑO;2
Chaco;FRENTE INTEGRADOR;2
Chubut;CHUBUT SOMOS TODOS;2
Corrientes;VAMOS CON VOS;2
Córdoba;HACEMOS POR CÓRDOBA;1
Entre Ríos;CONSERVADOR POPULAR;2
Formosa;FRENTE ESTAMOS CON VOS;2
Jujuy;FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD;2
La Pampa;FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD;2
La Rioja;UNIDOS;2
Mendoza;VERDE;2
Misiones;FRENTE RENOVADOR DE LA CONCORDIA;1
Neuquén;MOVIMIENTO POPULAR NEUQUINO;0
Río Negro;JUNTOS SOMOS RIO NEGRO;0
Salta;UNIDOS POR SALTA;2
San Juan;CONSENSO ISHCHIGUALASTO;2
San Luis;FUERZA SAN LUIS;1
Santa Cruz;SOMOS ENERGÍA PARA RENOVAR SANTA CRUZ -SER-;2
Santa Fe;FRENTE AMPLIO PROGRESISTA;2
Santiago del Estero;FRENTE RENOVADOR;2
Tierra del Fuego;SOMOS FUEGUINOS;2
Tucumán;FUERZA REPUBLICANA;2
